# LC-RV reference data -- mineral oil, annular-gap study.
# Source workbook: 'Rotational Viscometer Data.xlsx', sheet 'Sasanka Gylcerol and Oil' (columns O-39.5mm .. O-42.5mm).
# Instrument geometry for this dataset: cup inner diameter 45.0 mm, wetted bob height 25.0 mm.
# Bobs 39.5 / 40.5 / 41.5 / 42.5 mm give annular gaps 2.75 / 2.25 / 1.75 / 1.25 mm.
# load_cell_g is a single raw replicate reading. Every column prefixed 'wb_' is a value COMPUTED IN THE WORKBOOK for the whole RPM group and is repeated on each replicate row of that group; wb_ values are NOT independent measurements.
# The workbook used the narrow-gap model: wb_shear_rate_1s = omega*R_b/G and wb_shear_stress_Pa = F(N)/(2*pi*R_b*h), with F(N) = load_cell_g * 9.81 / 1000. These are reproduced exactly as published.
# FIGURE MAPPING: this sweep is the mineral-oil companion of the 45 mm cup 80 % glycerol gap sweep behind paper Fig. 3, recorded in the same session. No numbered figure plots it directly -- the paper's mineral-oil panels (Fig. 2) come from the 'Miriam' sheets, published here as stress-strain-summary.csv and load-cell-response-timeseries.csv.
fluid,concentration_pct,cup_id_mm,bob_diameter_mm,gap_mm,wetted_height_mm,rpm,rpm_nominal,replicate,load_cell_g,wb_group_mean_load_cell_g,wb_angular_velocity_rad_s,wb_bob_surface_velocity_m_s,wb_shear_rate_1s,wb_shear_stress_Pa,wb_viscosity_Pas,source_sheet,source_column
mineral oil,,45,39.5,2.75,25,220,220,14,1.08,1.064285714,23.03834613,0.455007336,165.4572131,3.365427686,0.02034016906,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,1,1.1,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,2,1.13,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,3,1.16,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,4,1.15,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,5,1.19,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,6,1.19,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,7,1.17,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,8,1.15,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,9,1.16,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
