# LC-RV reference data -- glycerol concentration series (20-100 % by mass).
# Source workbook: 'Rotational Viscometer Data.xlsx', sheet 'Sasanka Gylcerol and Oil 2' (columns G_100% 43mm .. G_20% 43mm).
# Instrument geometry: cup inner diameter 46.0 mm, bob 43.0 mm, annular gap 1.5 mm, wetted bob height 25.0 mm.
# BELOW-DETECTION CONVENTION: a load_cell_g of exactly 0 (and the small negative values in the 20-60 % columns) are GENUINE readings at or below the instrument's detection floor -- they are NOT missing data. An empty cell means no reading was recorded. Do not drop the zeros.
# load_cell_g is a single raw replicate reading. Columns prefixed 'wb_' are workbook-computed per-RPM-group values, repeated on every replicate row of that group.
# wb_series_mean_viscosity_Pas / wb_series_sd_viscosity_Pas are the workbook's mean and SD of wb_viscosity_Pas over the whole 120-400 RPM sweep for that concentration. wb_literature_viscosity_Pas is the reference value the workbook compared against (see data/README.md -- these are 25 C Sheely values except the 100 % entry).
# Workbook model (as published): wb_shear_rate_1s = omega*R_b/G, wb_shear_stress_Pa = F(N)/(2*pi*R_b*h), with F(N) = load_cell_g * 9.81 / 1000.
# Corresponds to paper Fig. 4A (shear stress vs shear rate) and Fig. 4B (measured vs literature viscosity bars).
fluid,concentration_pct,cup_id_mm,bob_diameter_mm,gap_mm,wetted_height_mm,rpm,rpm_nominal,replicate,load_cell_g,wb_group_mean_load_cell_g,wb_angular_velocity_rad_s,wb_bob_surface_velocity_m_s,wb_shear_rate_1s,wb_shear_stress_Pa,wb_viscosity_Pas,source_sheet,source_column,wb_series_mean_viscosity_Pas,wb_series_sd_viscosity_Pas,wb_literature_viscosity_Pas
glycerol,100,46,43,1.5,25,140.06,140,6,20.74,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,7,20.75,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,8,20.78,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,9,20.79,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,10,20.74,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,11,20.73,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,12,20.73,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,13,20.76,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,14,20.77,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,15,20.78,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,16,20.77,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,17,20.79,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,18,20.81,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,19,20.78,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,20,20.73,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,1,20.74,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,2,21.75,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,3,22.38,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,4,22.38,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,5,22.33,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,6,22.34,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,7,22.36,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,8,22.38,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,9,22.37,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,10,22.36,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,11,22.37,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,12,22.38,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,13,22.39,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,14,22.4,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,15,22.41,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,16,22.39,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,17,22.39,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,18,22.4,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
